institution_code,institution_abbreviation,institution_name,metric,year,value
H10,NMU,Nelson Mandela University,Total,2016,27780
H11,NWU,North West University,African,2009,30095
H11,NWU,North West University,Coloured,2009,1921
H11,NWU,North West University,Indian,2009,408
H11,NWU,North West University,White,2009,18160
H11,NWU,North West University,Other,2009,5
H11,NWU,North West University,Total,2009,50589
H11,NWU,North West University,African,2010,34356
H11,NWU,North West University,Coloured,2010,2199
H11,NWU,North West University,Indian,2010,423
H11,NWU,North West University,White,2010,16066
H11,NWU,North West University,Other,2010,2688
H11,NWU,North West University,Total,2010,55732
H11,NWU,North West University,African,2011,34860
H11,NWU,North West University,Coloured,2011,2360
H11,NWU,North West University,Indian,2011,425
H11,NWU,North West University,White,2011,16656
H11,NWU,North West University,Other,2011,2340
H11,NWU,North West University,Total,2011,56641
H11,NWU,North West University,African,2012,36488
H11,NWU,North West University,Coloured,2012,2568
H11,NWU,North West University,Indian,2012,448
H11,NWU,North West University,White,2012,17063
H11,NWU,North West University,Other,2012,2185
H11,NWU,North West University,Total,2012,58752
H11,NWU,North West University,African,2013,39523
H11,NWU,North West University,Coloured,2013,2684
H11,NWU,North West University,Indian,2013,485
H11,NWU,North West University,White,2013,17242
H11,NWU,North West University,Other,2013,1041
H11,NWU,North West University,Total,2013,60975
H11,NWU,North West University,African,2014,40563
H11,NWU,North West University,Coloured,2014,2686
H11,NWU,North West University,Indian,2014,489
H11,NWU,North West University,White,2014,17781
H11,NWU,North West University,Other,2014,1616
H11,NWU,North West University,Total,2014,63135
H11,NWU,North West University,African,2015,40772
H11,NWU,North West University,Coloured,2015,2897
H11,NWU,North West University,Indian,2015,528
H11,NWU,North West University,White,2015,17370
H11,NWU,North West University,Other,2015,2503
H11,NWU,North West University,Total,2015,64070
H11,NWU,North West University,African,2016,42354
H11,NWU,North West University,Coloured,2016,2799
H11,NWU,North West University,Indian,2016,552
H11,NWU,North West University,White,2016,17682
H11,NWU,North West University,Other,2016,8
H11,NWU,North West University,Total,2016,63395
H12,UP,University of Pretoria,African,2009,29316
H12,UP,University of Pretoria,Coloured,2009,965
H12,UP,University of Pretoria,Indian,2009,1835
H12,UP,University of Pretoria,White,2009,23618
H12,UP,University of Pretoria,Total,2009,55734
H12,UP,University of Pretoria,African,2010,29666
H12,UP,University of Pretoria,Coloured,2010,1023
H12,UP,University of Pretoria,Indian,2010,1944
H12,UP,University of Pretoria,White,2010,24481
H12,UP,University of Pretoria,Total,2010,57114
H12,UP,University of Pretoria,African,2011,30739
H12,UP,University of Pretoria,Coloured,2011,1046
H12,UP,University of Pretoria,Indian,2011,2071
H12,UP,University of Pretoria,White,2011,24270
H12,UP,University of Pretoria,Other,2011,2
H12,UP,University of Pretoria,Total,2011,58128
H12,UP,University of Pretoria,African,2012,30311
H12,UP,University of Pretoria,Coloured,2012,1038
H12,UP,University of Pretoria,Indian,2012,2179
H12,UP,University of Pretoria,White,2012,23979
H12,UP,University of Pretoria,Other,2012,1
H12,UP,University of Pretoria,Total,2012,57508
H12,UP,University of Pretoria,African,2013,29938
H12,UP,University of Pretoria,Coloured,2013,1128
H12,UP,University of Pretoria,Indian,2013,2313
H12,UP,University of Pretoria,White,2013,24171
H12,UP,University of Pretoria,Other,2013,3
H12,UP,University of Pretoria,Total,2013,57553
H12,UP,University of Pretoria,African,2014,28421
H12,UP,University of Pretoria,Coloured,2014,1192
H12,UP,University of Pretoria,Indian,2014,2601
H12,UP,University of Pretoria,White,2014,24161
H12,UP,University of Pretoria,Other,2014,1
H12,UP,University of Pretoria,Total,2014,56376
H12,UP,University of Pretoria,African,2015,28050
H12,UP,University of Pretoria,Coloured,2015,1264
H12,UP,University of Pretoria,Indian,2015,2735
H12,UP,University of Pretoria,White,2015,23858
H12,UP,University of Pretoria,Other,2015,77
H12,UP,University of Pretoria,Total,2015,55984
H12,UP,University of Pretoria,African,2016,26340
H12,UP,University of Pretoria,Coloured,2016,1365
H12,UP,University of Pretoria,Indian,2016,2746
H12,UP,University of Pretoria,White,2016,22747
H12,UP,University of Pretoria,Other,2016,34
H12,UP,University of Pretoria,Total,2016,53232
H13,RU,Rhodes University,African,2009,3489
H13,RU,Rhodes University,Coloured,2009,241
H13,RU,Rhodes University,Indian,2009,299
H13,RU,Rhodes University,White,2009,2983
H13,RU,Rhodes University,Total,2009,7012
H13,RU,Rhodes University,African,2010,3615
H13,RU,Rhodes University,Coloured,2010,255
H13,RU,Rhodes University,Indian,2010,275
H13,RU,Rhodes University,White,2010,3024
H13,RU,Rhodes University,Total,2010,7169
H13,RU,Rhodes University,African,2011,3750
H13,RU,Rhodes University,Coloured,2011,256
H13,RU,Rhodes University,Indian,2011,279
H13,RU,Rhodes University,White,2011,2993
H13,RU,Rhodes University,Total,2011,7278
H13,RU,Rhodes University,African,2012,3877
H13,RU,Rhodes University,Coloured,2012,284
H13,RU,Rhodes University,Indian,2012,289
H13,RU,Rhodes University,White,2012,2945
H13,RU,Rhodes University,Total,2012,7395
H13,RU,Rhodes University,African,2013,4046
H13,RU,Rhodes University,Coloured,2013,280
H13,RU,Rhodes University,Indian,2013,303
H13,RU,Rhodes University,White,2013,2856
H13,RU,Rhodes University,Total,2013,7485
H13,RU,Rhodes University,African,2014,4169
H13,RU,Rhodes University,Coloured,2014,296
H13,RU,Rhodes University,Indian,2014,365
H13,RU,Rhodes University,White,2014,2689
H13,RU,Rhodes University,Total,2014,7519
H13,RU,Rhodes University,African,2015,4685
H13,RU,Rhodes University,Coloured,2015,339
H13,RU,Rhodes University,Indian,2015,420
H13,RU,Rhodes University,White,2015,2563
H13,RU,Rhodes University,Total,2015,8007
H13,RU,Rhodes University,African,2016,5011
H13,RU,Rhodes University,Coloured,2016,338
H13,RU,Rhodes University,Indian,2016,434
H13,RU,Rhodes University,White,2016,2353
H13,RU,Rhodes University,Other,2016,0
H13,RU,Rhodes University,Total,2016,8136
