institution_code,institution_abbreviation,institution_name,year,gender,value
H09,UL,University of Limpopo,2015,Male,8882
H09,UL,University of Limpopo,2015,Other,
H09,UL,University of Limpopo,2015,Total,18907
H09,UL,University of Limpopo,2016,Female,10456
H09,UL,University of Limpopo,2016,Male,9387
H09,UL,University of Limpopo,2016,Other,
H09,UL,University of Limpopo,2016,Total,19843
H10,NMU,Nelson Mandela University,2009,Female,13860
H10,NMU,Nelson Mandela University,2009,Male,11637
H10,NMU,Nelson Mandela University,2009,Other,
H10,NMU,Nelson Mandela University,2009,Total,25497
H10,NMU,Nelson Mandela University,2010,Female,14104
H10,NMU,Nelson Mandela University,2010,Male,12015
H10,NMU,Nelson Mandela University,2010,Other,
H10,NMU,Nelson Mandela University,2010,Total,26119
H10,NMU,Nelson Mandela University,2011,Female,14167
H10,NMU,Nelson Mandela University,2011,Male,12089
H10,NMU,Nelson Mandela University,2011,Other,
H10,NMU,Nelson Mandela University,2011,Total,26256
H10,NMU,Nelson Mandela University,2012,Female,14350
H10,NMU,Nelson Mandela University,2012,Male,12247
H10,NMU,Nelson Mandela University,2012,Other,
H10,NMU,Nelson Mandela University,2012,Total,26597
H10,NMU,Nelson Mandela University,2013,Female,14163
H10,NMU,Nelson Mandela University,2013,Male,12198
H10,NMU,Nelson Mandela University,2013,Other,
H10,NMU,Nelson Mandela University,2013,Total,26361
H10,NMU,Nelson Mandela University,2014,Female,14033
H10,NMU,Nelson Mandela University,2014,Male,12477
H10,NMU,Nelson Mandela University,2014,Other,
H10,NMU,Nelson Mandela University,2014,Total,26510
H10,NMU,Nelson Mandela University,2015,Female,13709
H10,NMU,Nelson Mandela University,2015,Male,12596
H10,NMU,Nelson Mandela University,2015,Other,
H10,NMU,Nelson Mandela University,2015,Total,26305
H10,NMU,Nelson Mandela University,2016,Female,14542
H10,NMU,Nelson Mandela University,2016,Male,13238
H10,NMU,Nelson Mandela University,2016,Other,
H10,NMU,Nelson Mandela University,2016,Total,27780
H11,NWU,North West University,2009,Female,33393
H11,NWU,North West University,2009,Male,17196
H11,NWU,North West University,2009,Other,
H11,NWU,North West University,2009,Total,50589
H11,NWU,North West University,2010,Female,37002
H11,NWU,North West University,2010,Male,18730
H11,NWU,North West University,2010,Other,
H11,NWU,North West University,2010,Total,55732
H11,NWU,North West University,2011,Female,37512
H11,NWU,North West University,2011,Male,19128
H11,NWU,North West University,2011,Other,1
H11,NWU,North West University,2011,Total,56641
H11,NWU,North West University,2012,Female,39108
H11,NWU,North West University,2012,Male,19643.000000000073
H11,NWU,North West University,2012,Other,1
H11,NWU,North West University,2012,Total,58752.000000000175
H11,NWU,North West University,2013,Female,40773
H11,NWU,North West University,2013,Male,20202
H11,NWU,North West University,2013,Other,
H11,NWU,North West University,2013,Total,60975
H11,NWU,North West University,2014,Female,42619
H11,NWU,North West University,2014,Male,20516
H11,NWU,North West University,2014,Other,
H11,NWU,North West University,2014,Total,63135
H11,NWU,North West University,2015,Female,43064
H11,NWU,North West University,2015,Male,21006
H11,NWU,North West University,2015,Other,
H11,NWU,North West University,2015,Total,64070
H11,NWU,North West University,2016,Female,21142
H11,NWU,North West University,2016,Male,42253
H11,NWU,North West University,2016,Other,
H11,NWU,North West University,2016,Total,63395
H12,UP,University of Pretoria,2009,Female,32639
H12,UP,University of Pretoria,2009,Male,23095
H12,UP,University of Pretoria,2009,Other,
H12,UP,University of Pretoria,2009,Total,55734
H12,UP,University of Pretoria,2010,Female,33359
H12,UP,University of Pretoria,2010,Male,23755
H12,UP,University of Pretoria,2010,Other,
H12,UP,University of Pretoria,2010,Total,57114
H12,UP,University of Pretoria,2011,Female,34130
H12,UP,University of Pretoria,2011,Male,23935
H12,UP,University of Pretoria,2011,Other,63
H12,UP,University of Pretoria,2011,Total,58128
H12,UP,University of Pretoria,2012,Female,33411
H12,UP,University of Pretoria,2012,Male,23951
H12,UP,University of Pretoria,2012,Other,146
H12,UP,University of Pretoria,2012,Total,57508
H12,UP,University of Pretoria,2013,Female,33338
H12,UP,University of Pretoria,2013,Male,24215
H12,UP,University of Pretoria,2013,Other,
H12,UP,University of Pretoria,2013,Total,57553
H12,UP,University of Pretoria,2014,Female,32251
H12,UP,University of Pretoria,2014,Male,24125
H12,UP,University of Pretoria,2014,Other,
