institution_code,institution_abbreviation,institution_name,metric,year,value
H20,UWC,University of the Western Cape,Headcounts,2016,21796
H20,UWC,University of the Western Cape,FTEs,2016,16934.315
H21,WITS,University of Witwatersrand,Headcounts,2009,29234
H21,WITS,University of Witwatersrand,FTEs,2009,21278.07617
H21,WITS,University of Witwatersrand,Headcounts,2010,29498
H21,WITS,University of Witwatersrand,FTEs,2010,21549.4
H21,WITS,University of Witwatersrand,Headcounts,2011,29004
H21,WITS,University of Witwatersrand,FTEs,2011,21228.151
H21,WITS,University of Witwatersrand,Headcounts,2012,30436
H21,WITS,University of Witwatersrand,FTEs,2012,22644.183
H21,WITS,University of Witwatersrand,Headcounts,2013,31134
H21,WITS,University of Witwatersrand,FTEs,2013,23506.989
H21,WITS,University of Witwatersrand,Headcounts,2014,32721
H21,WITS,University of Witwatersrand,FTEs,2014,24779.447
H21,WITS,University of Witwatersrand,Headcounts,2015,33777
H21,WITS,University of Witwatersrand,FTEs,2015,25522.736
H21,WITS,University of Witwatersrand,Headcounts,2016,37448
H21,WITS,University of Witwatersrand,FTEs,2016,28499.002
H22,UZ,University of Zululand,Headcounts,2009,13291
H22,UZ,University of Zululand,FTEs,2009,11943.059
H22,UZ,University of Zululand,Headcounts,2010,14725
H22,UZ,University of Zululand,FTEs,2010,13164.334
H22,UZ,University of Zululand,Headcounts,2011,15592
H22,UZ,University of Zululand,FTEs,2011,14205.846
H22,UZ,University of Zululand,Headcounts,2012,16434
H22,UZ,University of Zululand,FTEs,2012,15583.232
H22,UZ,University of Zululand,Headcounts,2013,16591
H22,UZ,University of Zululand,FTEs,2013,13763.908
H22,UZ,University of Zululand,Headcounts,2014,16663
H22,UZ,University of Zululand,FTEs,2014,14862.597
H22,UZ,University of Zululand,Headcounts,2015,16891
H22,UZ,University of Zululand,FTEs,2015,16059.568
H22,UZ,University of Zululand,Headcounts,2016,17662
H22,UZ,University of Zululand,FTEs,2016,16615.179
H23,SPU,Sol Plaatje University,Headcounts,2014,124
H23,SPU,Sol Plaatje University,FTEs,2014,125
H23,SPU,Sol Plaatje University,Headcounts,2015,328
H23,SPU,Sol Plaatje University,FTEs,2015,335.41
H23,SPU,Sol Plaatje University,Headcounts,2016,703
H23,SPU,Sol Plaatje University,FTEs,2016,677.238
H24,UMP,University of Mpumalanga,Headcounts,2014,140
H24,UMP,University of Mpumalanga,FTEs,2014,136
H24,UMP,University of Mpumalanga,Headcounts,2015,816
H24,UMP,University of Mpumalanga,FTEs,2015,646.527
H24,UMP,University of Mpumalanga,Headcounts,2016,1268
H24,UMP,University of Mpumalanga,FTEs,2016,1077.04
H25,MUT,Mangosuthu University of Technology,Headcounts,2009,9677
H25,MUT,Mangosuthu University of Technology,FTEs,2009,7317.721
H25,MUT,Mangosuthu University of Technology,Headcounts,2010,10033
H25,MUT,Mangosuthu University of Technology,FTEs,2010,7426.152
H25,MUT,Mangosuthu University of Technology,Headcounts,2011,10286
H25,MUT,Mangosuthu University of Technology,FTEs,2011,7130.294
H25,MUT,Mangosuthu University of Technology,Headcounts,2012,10802
H25,MUT,Mangosuthu University of Technology,FTEs,2012,7372
H25,MUT,Mangosuthu University of Technology,Headcounts,2013,11375
H25,MUT,Mangosuthu University of Technology,FTEs,2013,7744.861
H25,MUT,Mangosuthu University of Technology,Headcounts,2014,11377
H25,MUT,Mangosuthu University of Technology,FTEs,2014,7669
H25,MUT,Mangosuthu University of Technology,Headcounts,2015,11518
H25,MUT,Mangosuthu University of Technology,FTEs,2015,7602.637
H25,MUT,Mangosuthu University of Technology,Headcounts,2016,11588
H25,MUT,Mangosuthu University of Technology,FTEs,2016,8078.368
H26,SMHSU,Sefako Makgatho Health Science University,Headcounts,2015,5074
H26,SMHSU,Sefako Makgatho Health Science University,FTEs,2015,3755.42
H26,SMHSU,Sefako Makgatho Health Science University,Headcounts,2016,5402
H26,SMHSU,Sefako Makgatho Health Science University,FTEs,2016,4212.316
